NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
84,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,WO/SALT",95.24,14,1.5,0.17,0.68,2.41,1.7,,32,0.3,10,39,225,9,0.18,0.029,0.153,0.4,15.8,0.044,0.044,0.5,0.08,0.177,53,0,53,53,,0,967,48,0,,,,,,,0,0,,0.036,0.02,0.061,0
85,"CARDOON,RAW",94,17,0.7,0.1,1.13,4.07,1.6,,70,0.7,42,23,400,170,0.17,0.231,0.256,0.2,2,0.02,0.03,0.3,0.338,0.116,68,0,68,68,,0,0,0,0,,,,,,,0,0,,0.011,0.018,0.041,0
86,"CARDOON,CKD,BLD,DRND,WO/SALT",93.46,22,0.76,0.11,0.34,5.33,1.7,,72,0.73,43,23,392,176,0.18,,0.133,1,1.7,0.018,0.031,0.294,0.097,0.042,22,0,22,22,,0,118,6,0,,,,,,,0,0,,0.012,0.02,0.044,0
87,"CARROTS,RAW",88.29,41,0.93,0.24,0.97,9.58,2.8,4.74,33,0.3,12,35,320,69,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0.273,0.138,19,0,19,19,8.8,0,16706,835,0,3477,8285,0,1,256,0.66,0,0,13.2,0.037,0.014,0.117,0
88,"CARROTS,CKD,BLD,DRND,WO/SALT",90.17,35,0.76,0.18,0.67,8.22,3,3.45,30,0.34,10,30,235,58,0.2,0.017,0.155,0.7,3.6,0.066,0.044,0.645,0.232,0.153,14,0,14,14,8.8,0,17033,852,0,3776,8332,0,0,687,1.03,0,0,13.7,0.03,0.006,0.089,0
89,"CARROTS,CND,REG PK,SOL&LIQUIDS",92.99,23,0.58,0.14,0.92,5.37,1.8,2.46,31,0.52,9,20,173,240,0.29,0.103,0.45,0.4,2,0.019,0.027,0.421,0.139,0.112,8,0,8,8,6.3,0,12264,613,0,2692,5940,144,0,490,0.73,0,0,9.8,0.025,0.006,0.065,0
90,"CARROTS,CND,REG PK,DRND SOL",92.95,25,0.64,0.19,0.68,5.54,1.5,2.48,25,0.64,8,24,179,242,0.26,0.104,0.45,0.4,2.7,0.018,0.03,0.552,0.135,0.112,9,0,9,9,6.3,0,11170,558,0,2743,5331,0,0,0,0.74,0,0,9.8,0.036,0.009,0.092,0
91,"CARROTS,FROZEN,UNPREPARED",90.04,36,0.78,0.46,0.83,7.9,3.3,4.76,36,0.44,12,33,235,68,0.33,0.074,0.171,0.7,2.5,0.044,0.037,0.464,0.187,0.095,10,0,10,10,7.5,0,14210,710,0,2958,7047,0,1,218,0.57,0,0,17.6,0.047,0.014,0.263,0
92,"CARROTS,FRZ,CKD,BLD,DRND,WO/SALT",90.32,37,0.58,0.68,0.69,7.73,3.3,4.08,35,0.53,11,31,192,59,0.35,0.082,0.167,0.6,2.3,0.03,0.037,0.416,0.174,0.084,11,0,11,11,8.6,0,16928,846,0,3716,8199,199,0,676,1.01,0,0,13.6,0.12,0.031,0.334,0
93,"CASSAVA,RAW",59.68,160,1.36,0.28,0.62,38.06,1.8,1.7,16,0.27,21,27,271,14,0.34,0.1,0.384,0.7,20.6,0.087,0.048,0.854,0.107,0.088,27,0,27,27,23.7,0,13,1,0,0,8,0,0,0,0.19,0,0,1.9,0.074,0.075,0.048,0
94,"CAULIFLOWER,RAW",92.07,25,1.92,0.28,0.76,4.97,2,1.91,22,0.42,15,44,299,30,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0.667,0.184,57,0,57,57,44.3,0,0,0,0,0,0,0,0,1,0.08,0,0,15.5,0.13,0.034,0.031,0
95,"CAULIFLOWER,CKD,BLD,DRND,WO/SALT",93,23,1.84,0.45,0.6,4.11,2.3,2.08,16,0.32,9,32,142,15,0.17,0.018,0.132,0.6,44.3,0.042,0.052,0.41,0.508,0.173,44,0,44,44,39.1,0,12,1,0,0,7,0,0,29,0.07,0,0,13.8,0.07,0.032,0.217,0
96,"CAULIFLOWER,FRZ,UNPREP",92.51,24,2.01,0.27,0.53,4.68,2.3,2.22,22,0.54,12,35,193,24,0.17,0.031,0.197,0.8,48.8,0.051,0.07,0.429,0.136,0.123,64,0,64,64,41.9,0,12,1,0,0,7,0,0,31,0.07,0,0,14.8,0.041,0.019,0.128,0
97,"CAULIFLOWER,FRZ,CKD,BLD,DRND,WO/SALT",94,19,1.61,0.22,0.42,3.75,2.7,1.05,17,0.41,9,24,139,18,0.13,0.024,0.15,0.6,31.3,0.037,0.053,0.31,0.098,0.088,41,0,41,41,33.5,0,10,0,0,0,6,0,0,24,0.06,0,0,11.9,0.034,0.015,0.105,0
98,"CELERIAC,RAW",88,42,1.5,0.3,1,9.2,1.8,1.6,43,0.7,20,115,300,100,0.33,0.07,0.158,0.7,8,0.05,0.06,0.7,0.352,0.165,8,0,8,8,9,0,0,0,0,0,0,0,0,1,0.36,0,0,41,0.079,0.058,0.148,0
99,"CELERIAC,CKD,BLD,DRND,WO/SALT",92.3,27,0.96,0.19,0.64,5.9,1.2,,26,0.43,12,66,173,61,0.2,0.043,0.096,0.4,3.6,0.027,0.037,0.427,0.203,0.101,3,0,3,3,,0,0,0,0,,,,,,,0,0,,,,,0
100,"CELERY,RAW",95.43,16,0.69,0.17,0.75,2.97,1.6,1.34,40,0.2,11,24,260,80,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36,0,36,36,6.1,0,449,22,0,0,270,0,0,283,0.27,0,0,29.3,0.042,0.032,0.079,0
101,"CELERY,CKD,BLD,DRND,WO/SALT",94.11,18,0.83,0.16,0.9,4,1.6,2.37,42,0.42,12,25,284,91,0.14,0.036,0.106,1,6.1,0.023,0.07,0.372,0.317,0.086,33,0,33,33,7.9,0,521,26,0,0,313,0,0,329,0.35,0,0,37.8,0.04,0.03,0.075,0
102,"CELTUCE,RAW",94.5,18,0.85,0.3,0.7,3.65,1.7,,39,0.55,28,39,330,11,0.27,0.04,0.688,0.9,19.5,0.055,0.07,0.55,0.183,0.05,46,0,46,46,,0,3500,175,0,,,,,,,0,0,,,,,0
103,"CHARD,SWISS,RAW",92.66,19,1.8,0.2,1.6,3.74,1.6,1.1,51,1.8,81,46,379,213,0.36,0.179,0.366,0.9,30,0.04,0.09,0.4,0.172,0.099,14,0,14,14,18,0,6116,306,0,45,3647,0,0,11000,1.89,0,0,830,0.03,0.04,0.07,0
104,"CHARD,SWISS,CKD,BLD,DRND,WO/SALT",92.65,20,1.88,0.08,1.26,4.13,2.1,1.1,58,2.26,86,33,549,179,0.33,0.163,0.334,0.9,18,0.034,0.086,0.36,0.163,0.085,9,0,9,9,28.7,0,6124,306,0,45,3652,0,0,11015,1.89,0,0,327.3,0.012,0.016,0.028,0
105,"CHAYOTE,FRUIT,RAW",94.24,19,0.82,0.13,0.3,4.51,1.7,1.66,17,0.34,12,18,125,2,0.74,0.123,0.189,0.2,7.7,0.025,0.029,0.47,0.249,0.076,93,0,93,93,9.2,0,0,0,0,0,0,0,0,0,0.12,0,0,4.1,0.028,0.01,0.057,0
106,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",93.43,24,0.62,0.48,0.38,5.09,2.8,1.89,13,0.22,12,29,173,1,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,18,18,10.5,0,0,0,0,0,0,0,0,0,0.14,0,0,4.7,0,0,0,0
107,"CHICORY,WITLOOF,RAW",94.52,17,0.9,0.1,0.47,4,3.1,,19,0.24,10,26,211,2,0.16,0.051,0.1,0.2,2.8,0.062,0.027,0.16,0.145,0.042,37,0,37,37,,0,29,1,0,,,,,,,0,0,,0.024,0.002,0.044,0
108,"CHICORY GREENS,RAW",92,23,1.7,0.3,1.3,4.7,4,0.7,100,0.9,30,47,420,45,0.42,0.295,0.429,0.3,24,0.06,0.1,0.5,1.159,0.105,110,0,110,110,12.8,0,5717,286,0,0,3430,0,0,10300,2.26,0,0,297.6,0.073,0.006,0.131,0
109,"CHICORY ROOTS,RAW",80,72,1.4,0.2,0.89,17.51,1.5,8.73,41,0.8,22,61,290,50,0.33,0.077,0.233,0.7,5,0.04,0.03,0.4,0.323,0.241,23,0,23,23,,0,6,0,0,,,,,,,0,0,,0.048,0.004,0.087,0
110,"CHIVES,RAW",90.65,30,3.27,0.73,1,4.35,2.5,1.85,92,1.6,42,58,296,3,0.56,0.157,0.373,0.9,58.1,0.078,0.115,0.647,0.324,0.138,105,0,105,105,5.2,0,4353,218,0,0,2612,0,0,323,0.21,0,0,212.7,0.146,0.095,0.267,0
111,"CHRYSANTHEMUM,GARLAND,RAW",91.4,24,3.36,0.56,1.67,3.02,3,,117,2.29,32,54,567,118,0.71,0.137,0.943,,1.4,0.13,0.144,0.531,0.221,0.176,177,0,177,177,,0,2320,116,0,0,1380,24,,3834,,0,0,350,,,,0
112,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,WO/SALT",92.49,20,1.64,0.09,1.47,4.31,2.3,2.01,69,3.74,18,43,569,53,0.2,0.133,0.355,0.3,23.9,0.021,0.16,0.72,0.042,0.118,50,0,50,50,12.8,0,2572,129,0,0,1543,0,0,3467,2.5,0,0,142.7,0.022,0.002,0.039,0
113,"COLLARDS,RAW",89.62,32,3.02,0.61,1.32,5.42,4,0.46,232,0.47,27,25,213,17,0.21,0.046,0.658,1.3,35.3,0.054,0.13,0.742,0.267,0.165,129,0,129,129,23.2,0,5019,251,0,14,2991,28,0,4323,2.26,0,0,437.1,0.055,0.03,0.201,0
114,"COLLARDS,CKD,BLD,DRND,WO/SALT",90.18,33,2.71,0.72,0.73,5.65,4,0.4,141,1.13,21,32,117,15,0.23,0.051,0.51,0.5,18.2,0.04,0.106,0.575,0.218,0.128,16,0,16,16,38.4,0,7600,380,0,68,4513,26,0,6197,0.88,0,0,406.6,0.047,0.026,0.173,0
115,"COLLARDS,FRZ,CHOPD,UNPREP",89.53,33,2.69,0.37,0.95,6.46,3.6,,201,1.07,29,27,253,48,0.26,0.053,0.633,1.4,40,0.05,0.11,0.641,0.11,0.115,73,0,73,73,,0,9183,459,0,,5510,,,,,0,0,,0.048,0.027,0.178,0
116,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",88.47,36,2.97,0.41,1.05,7.1,2.8,0.57,210,1.12,30,27,251,50,0.27,0.055,0.663,1.5,26.4,0.047,0.115,0.635,0.115,0.114,76,0,76,76,45.1,0,11493,575,0,127,6818,28,0,10898,1.25,0,0,623.2,0.06,0.02,0.21,0
117,"CORIANDER (CILANTRO) LEAVES,RAW",92.21,23,2.13,0.52,1.47,3.67,2.8,0.87,67,1.77,26,48,521,46,0.5,0.225,0.426,0.9,27,0.067,0.162,1.114,0.57,0.149,62,0,62,62,12.8,0,6748,337,0,36,3930,202,0,865,2.5,0,0,310,0.014,0.275,0.04,0
118,"CORN,SWT,YEL,RAW",76.05,86,3.27,1.35,0.62,18.7,2,6.26,2,0.52,37,89,270,15,0.46,0.054,0.163,0.6,6.8,0.155,0.055,1.77,0.717,0.093,42,0,42,42,23,0,187,9,0,16,47,115,0,644,0.07,0,0,0.3,0.325,0.432,0.487,0
119,"CORN,SWT,YEL,CKD,BLD,DRND,WO/SALT",73.41,96,3.41,1.5,0.71,20.98,2.4,4.54,3,0.45,26,77,218,1,0.62,0.049,0.167,0.2,5.5,0.093,0.057,1.683,0.792,0.139,23,0,23,23,29.1,0,263,13,0,23,66,161,0,906,0.09,0,0,0.4,0.197,0.374,0.603,0
120,"CORN,SWT,YEL,CND,BRINE PK,REG PK,SOL&LIQUIDS",82.61,61,1.95,0.77,0.8,13.86,1.7,4.15,4,0.36,15,46,136,195,0.39,0.028,0.082,0.5,2.6,0.015,0.015,0.884,0.522,0.037,38,0,38,38,16.6,0,34,2,0,10,9,14,0,650,0.03,0,0,0,0.077,0.144,0.233,0
121,"CORN,SWT,YEL,CND,WHL KERNEL,DRND SOL",81.41,67,2.29,1.22,0.75,14.34,2,4.44,3,0.27,13,46,132,205,0.32,0.033,0.067,0.6,1.8,0.039,0.089,1.005,0.209,0.037,36,0,36,36,17.8,0,46,2,0,6,14,20,0,695,0.09,0,0,0,0.245,0.374,0.519,0
122,"CORN,SWT,YEL,CND,CRM STYLE,REG PK",78.73,72,1.74,0.42,0.98,18.13,1.2,3.23,3,0.38,17,51,134,261,0.53,0.052,0.068,0.4,4.6,0.025,0.053,0.96,0.18,0.063,45,0,45,45,20.3,0,74,4,0,23,30,6,0,949,0.07,0,0,0,0.065,0.123,0.198,0
123,"CORN,SWT,YEL,CND,VACUUM PK,REG PK",76.58,79,2.41,0.5,1.07,19.44,2,5.59,5,0.42,23,64,186,272,0.46,0.048,0.067,0.7,8.1,0.041,0.073,1.167,0.675,0.055,49,0,49,49,22.4,0,81,4,0,26,33,6,0,1045,0.04,0,0,0,0.077,0.147,0.237,0
124,"CORN,SWT,YEL,CND,DRND SOL,RINSED W/ TAP H2O",82.8,74,2.18,1.43,0.57,13.02,1.7,4.11,2,0.22,11,41,116,163,0.28,0.031,0.056,,1.7,0.015,0.015,0.78,,,29,0,29,29,,0,,,,,,,,,,0,0,,0.219,0.42,0.682,0
125,"CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,UNPREP",75,88,3.02,0.78,0.48,20.71,2.1,2.5,4,0.42,18,70,213,3,0.38,0.036,0.123,0.7,6.4,0.083,0.068,1.739,0.361,0.168,36,0,36,36,24,0,195,10,0,17,49,120,0,672,0.08,0,0,0.3,0.119,0.227,0.366,0
126,"CORN,SWT,YEL,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",77.03,81,2.55,0.67,0.44,19.3,2.4,3.07,3,0.47,28,79,233,1,0.63,0.048,0.155,0.7,3.5,0.03,0.062,1.311,0.151,0.099,35,0,35,35,22,0,199,10,0,17,50,122,0,684,0.07,0,0,0.3,0.103,0.197,0.318,0
127,"CORN,SWT,YEL,FRZ,KRNLS ON COB,UNPREP",71.79,98,3.28,0.78,0.65,23.5,2.8,3.78,4,0.68,32,87,294,5,0.7,0.051,0.158,0.8,7.2,0.103,0.088,1.681,0.293,0.179,40,0,40,40,,0,244,12,0,21,61,149,0,897,0.09,0,0,0.4,0.12,0.228,0.367,0
128,"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",73.2,94,3.11,0.74,0.62,22.33,2.8,3.59,3,0.61,29,75,251,4,0.63,0.046,0.142,0.7,4.8,0.174,0.069,1.517,0.25,0.224,31,0,31,31,,0,232,12,0,20,58,142,0,852,0.08,0,0,0.4,0.114,0.216,0.348,0
129,"CORN,YEL,WHL KERNEL,FRZ,MICROWAVED",68.4,131,3.62,1.42,0.69,25.87,2.6,3.36,5,0.39,25,95,276,4,0.53,0.054,0.129,,,0.083,0.05,2.07,0.637,0.12,38,,38,,30.3,0,234,12,,20,59,144,0,807,0.1,,,0.4,0.15,0.287,0.463,0
130,"CORN W/RED&GRN PEPPERS,CND,SOL&LIQUIDS",77.5,75,2.33,0.55,1.45,18.17,,,5,0.79,25,62,153,347,0.37,0.06,0.043,0.6,8.8,0.022,0.08,0.95,0.447,0.097,34,0,34,34,,0,232,12,0,,,,,,,0,0,,0.085,0.157,0.261,0
131,"CORNSALAD,RAW",92.8,21,2,0.4,1.2,3.6,,,38,2.18,13,53,459,4,0.59,0.134,0.359,0.9,38.2,0.071,0.087,0.415,0.042,0.273,14,0,14,14,,0,7092,355,0,,,,,,,0,0,,,,,0
132,"COWPEAS (BLACKEYES),IMMAT SEEDS,RAW",77.2,90,2.95,0.35,0.67,18.83,5,3,126,1.1,51,53,431,4,1.01,0.13,0.56,2.3,2.5,0.11,0.145,1.45,0.151,0.067,168,0,168,168,,0,817,41,0,,,,,,,0,0,,0.09,0.032,0.15,0
133,"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,WO/ SALT",75.48,97,3.17,0.38,0.65,20.32,5,3.23,128,1.12,52,51,418,4,1.03,0.133,0.572,2.5,2.2,0.101,0.148,1.403,0.154,0.065,127,0,127,127,32.9,0,791,40,0,0,475,0,0,0,0.22,0,0,26.6,0.096,0.034,0.161,0
134,"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,UNPREP",64.15,139,8.98,0.7,1.05,25.13,5,,26,2.35,55,122,441,6,1.58,0.205,0.881,3.6,4,0.245,0.071,0.811,0.237,0.106,187,0,187,187,,0,84,4,0,,,,,,,0,0,,0.185,0.063,0.297,0
135,"COWPEAS (BLACKEYES),IMMTRE SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",66.1,132,8.49,0.66,0.99,23.76,6.4,4.46,23,2.12,50,122,375,5,1.42,0.184,0.791,3.4,2.6,0.26,0.064,0.728,0.213,0.095,141,0,141,141,45.6,0,75,4,0,0,45,0,0,0,0.3,0,0,36.8,0.175,0.06,0.28,0
136,"COWPEAS,YOUNG PODS W/SEEDS,RAW",86,44,3.3,0.3,0.9,9.5,3.3,5.04,65,1,58,65,215,4,0.34,0.1,0.308,0.9,33,0.15,0.14,1.2,0.945,0.173,53,0,53,53,22,0,1369,68,0,55,794,0,0,932,0.49,0,0,31.5,0.079,0.027,0.127,0
137,"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,WO/SALT",89.5,34,2.6,0.3,0.6,7,,,55,0.7,41,49,196,3,0.24,0.071,0.219,0.7,17,0.09,0.09,0.8,0.638,0.123,26,0,26,26,,0,1400,70,0,,,,,,,0,0,,0.079,0.027,0.127,0
138,"YARDLONG BEAN,RAW",87.85,47,2.8,0.4,0.6,8.35,,,50,0.47,44,59,240,4,0.37,0.048,0.205,1.5,18.8,0.107,0.11,0.41,0.055,0.024,62,0,62,62,,0,865,43,0,,,,,,,0,0,,0.105,0.036,0.169,0
139,"YARDLONG BEAN,CKD,BLD,DRND,WO/SALT",87.47,47,2.53,0.1,0.73,9.18,,,44,0.98,42,57,290,4,0.36,0.047,0.201,1.5,16.2,0.085,0.099,0.63,0.051,0.024,45,0,45,45,,0,450,23,0,,,,,,,0,0,,0.026,0.009,0.042,0
140,"COWPEAS,LEAFY TIPS,RAW",89.78,29,4.1,0.25,1.05,4.82,,,63,1.92,43,9,455,7,0.29,0.191,0.509,0.9,36,0.354,0.175,1.12,0.06,0.177,101,0,101,101,,0,712,36,0,,,,,,,0,0,,0.066,0.022,0.106,0
141,"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,WO/SALT",91.3,22,4.67,0.1,1.13,2.8,,,69,1.09,62,42,351,6,0.24,0.154,0.412,0.9,18.4,0.256,0.142,1.008,0.046,0.135,60,0,60,60,,0,576,29,0,,,,,,,0,0,,0.026,0.009,0.042,0
142,"CRESS,GARDEN,RAW",89.4,32,2.6,0.7,1.8,5.5,1.1,4.4,81,1.3,38,76,606,14,0.23,0.17,0.553,0.9,69,0.08,0.26,1,0.242,0.247,80,0,80,80,19.5,0,6917,346,0,0,4150,0,0,12500,0.7,0,0,541.9,0.023,0.239,0.228,0
143,"CRESS,GARDEN,CKD,BLD,DRND,WO/SALT",92.5,23,1.9,0.6,1.2,3.8,0.7,3.11,61,0.8,26,48,353,8,0.15,0.114,0.372,0.9,23,0.06,0.16,0.8,0.163,0.157,37,0,37,37,13.8,0,4649,232,0,0,2790,0,0,8402,0.5,0,0,383.4,0.02,0.205,0.196,0
144,"CUCUMBER,WITH PEEL,RAW",95.23,15,0.65,0.11,0.38,3.63,0.5,1.67,16,0.28,13,24,147,2,0.2,0.041,0.079,0.3,2.8,0.027,0.033,0.098,0.259,0.04,7,0,7,7,6,0,105,5,0,11,45,26,0,23,0.03,0,0,16.4,0.037,0.005,0.032,0
145,"CUCUMBER,PEELED,RAW",96.73,12,0.59,0.16,0.36,2.16,0.7,1.38,14,0.22,12,21,136,2,0.17,0.071,0.073,0.1,3.2,0.031,0.025,0.037,0.24,0.051,14,0,14,14,5.7,0,72,4,0,8,31,18,0,16,0.03,0,0,7.2,0.013,0.002,0.003,0
146,"DANDELION GREENS,RAW",85.6,45,2.7,0.7,1.8,9.2,3.5,0.71,187,3.1,36,66,397,76,0.41,0.171,0.342,0.5,35,0.19,0.26,0.806,0.084,0.251,27,0,27,27,35.3,0,10161,508,0,363,5854,121,0,13610,3.44,0,0,778.4,0.17,0.014,0.306,0
147,"DANDELION GRNS,CKD,BLD,DRND,WO/SALT",89.8,33,2,0.6,1.2,6.4,2.9,0.5,140,1.8,24,42,232,44,0.28,0.115,0.23,0.3,18,0.13,0.175,0.514,0.057,0.16,13,0,13,13,25,0,6837,342,0,244,3940,82,0,9158,2.44,0,0,551.4,0.146,0.012,0.262,0
148,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3,3.53,9,0.23,14,24,229,2,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22,0,22,22,6.9,0,23,1,0,0,14,0,0,36,0.3,0,0,3.5,0.034,0.016,0.076,0
149,"EGGPLANT,CKD,BLD,DRND,WO/SALT",89.67,35,0.83,0.23,0.54,8.73,2.5,3.2,6,0.25,11,15,123,1,0.12,0.059,0.113,0.1,1.3,0.076,0.02,0.6,0.075,0.086,14,0,14,14,9.4,0,37,2,0,0,22,0,0,0,0.41,0,0,2.9,0.044,0.02,0.093,0
150,"EDAMAME,FRZ,UNPREP",75.17,109,11.22,4.73,1.27,7.61,4.8,2.48,60,2.11,61,161,482,6,1.32,0.324,1.01,,9.7,0.15,0.265,0.925,0.535,0.135,303,0,303,303,56,,,,,,,,,,0.72,,,31.4,,,,0
151,"EDAMAME,FRZ,PREP",72.77,121,11.91,5.2,1.21,8.91,5.2,2.18,63,2.27,64,169,436,6,1.37,0.345,1.024,0.8,6.1,0.2,0.155,0.915,0.395,0.1,311,0,311,311,56.3,0,298,15,0,0,175,8,0,1619,0.68,0,0,26.7,0.62,1.282,2.156,0
152,"ENDIVE,RAW",93.79,17,1.25,0.2,1.41,3.35,3.1,0.25,52,0.83,15,28,314,22,0.79,0.099,0.42,0.2,6.5,0.08,0.075,0.4,0.9,0.02,142,0,142,142,16.8,0,2167,108,0,0,1300,0,0,0,0.44,0,0,231,0.048,0.004,0.087,0
153,"ESCAROLE,CKD,BLD,DRND,NO SALT ADDED",94.29,19,1.15,0.18,1.3,3.07,2.8,0.23,46,0.72,13,22,245,19,0.69,0.087,0.385,0.2,3.3,0.059,0.062,0.312,0.826,0.016,78,0,78,78,15.4,0,1888,94,0,0,1133,0,0,0,0.4,0,0,211.9,0.042,0.004,0.081,0
154,"GARLIC,RAW",58.58,149,6.36,0.5,1.5,33.06,2.1,1,181,1.7,25,153,401,17,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3,0,3,3,23.2,0,9,0,0,0,5,0,0,16,0.08,0,0,1.7,0.089,0.011,0.249,0
155,"GINGER ROOT,RAW",78.89,80,1.82,0.75,0.77,17.77,2,1.7,16,0.6,43,34,415,13,0.34,0.226,0.229,0.7,5,0.025,0.034,0.75,0.203,0.16,11,0,11,11,28.8,0,0,0,0,0,0,0,0,0,0.26,0,0,0.1,0.203,0.154,0.154,0
156,"GOURD,WHITE-FLOWERED (CALABASH),RAW",95.54,14,0.62,0.02,0.43,3.39,0.5,,26,0.2,11,13,150,2,0.7,0.026,0.066,0.2,10.1,0.029,0.022,0.32,0.152,0.04,6,0,6,6,,0,16,,0,,,,,,,0,0,,0.002,0.004,0.009,0
157,"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,WO/SALT",95.32,15,0.6,0.02,0.37,3.69,1.2,,24,0.25,11,13,170,2,0.7,0.026,0.066,0.2,8.5,0.029,0.022,0.39,0.144,0.038,4,0,4,4,,0,0,,0,,,,,,,0,0,,0.002,0.004,0.009,0
158,"GOURD,DISHCLOTH (TOWELGOURD),RAW",93.85,20,1.2,0.2,0.4,4.35,1.1,2.02,20,0.36,14,32,139,3,0.07,0.035,0.092,0.2,12,0.05,0.06,0.4,0.218,0.043,7,0,7,7,,0,410,,0,,,,,,0.1,0,0,0.7,0.016,0.037,0.087,0
159,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT",84.29,56,0.66,0.34,0.37,14.34,2.9,5.17,9,0.36,20,31,453,21,0.17,0.085,0.223,0.2,5.7,0.046,0.042,0.26,0.501,0.099,12,0,12,12,,0,260,,0,,,,,,0.24,0,0,1.7,0.027,0.063,0.148,0
160,"DRUMSTICK LEAVES,RAW",78.66,64,9.4,1.4,2.26,8.28,2,,185,4,42,112,337,9,0.6,0.105,1.063,0.9,51.7,0.257,0.66,2.22,0.125,1.2,40,0,40,40,,0,7564,378,0,,,,,,,0,0,,,,,0
161,"DRUMSTICK LEAVES,CKD,BLD,DRND,WO/ SALT",81.65,60,5.27,0.93,1,11.15,2,1,151,2.32,34,67,344,9,0.49,0.086,0.868,0.9,31,0.222,0.509,1.995,0.102,0.929,23,0,23,23,21,0,7013,351,0,0,4208,0,0,1747,0.1,0,0,108,0.152,0.473,0.015,0
162,"HYACINTH-BEANS,IMMAT SEEDS,RAW",87.87,46,2.1,0.2,0.64,9.19,3.3,4.08,50,0.74,40,49,252,2,0.37,0.047,0.205,1.5,12.9,0.077,0.092,0.52,0.055,0.024,62,0,62,62,19.1,0,864,43,0,87,475,0,0,802,0.51,0,0,18.1,0.088,0.095,0.008,0
163,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",86.9,50,2.95,0.27,0.68,9.2,,,41,0.76,42,49,262,2,0.38,0.048,0.21,1.6,5.1,0.056,0.088,0.48,0.053,0.023,47,0,47,47,,0,142,7,0,,,,,,,0,0,,0.119,0.129,0.01,0
164,"JERUSALEM-ARTICHOKES,RAW",78.01,73,2,0.01,2.54,17.44,1.6,9.6,14,3.4,17,78,429,4,0.12,0.14,0.06,0.7,4,0.2,0.06,1.3,0.397,0.077,13,0,13,13,30,0,20,1,0,0,12,0,0,0,0.19,0,0,0.1,0,0.004,0.001,0
165,"JEW'S EAR,(PEPEAO),RAW",92.59,25,0.48,0.04,0.15,6.75,,,16,0.56,25,14,43,9,0.66,0.445,0.101,11.1,0.6,0.081,0.204,0.07,1.99,0.088,19,0,19,19,,0,0,0,0,,,,,,,0,0,,,,,0
166,"PEPEAO,DRIED",11.14,298,4.82,0.44,2.57,81.03,,,113,6.14,146,116,708,70,7.52,5.07,1.151,45.3,1.4,0.826,0.35,3,21.477,0.95,160,0,160,160,,0,0,0,0,,,,,,,0,0,,,,,0
167,"JUTE,POTHERB,RAW",87.72,34,4.65,0.25,1.58,5.8,,,208,4.76,64,83,559,8,0.79,0.255,0.123,0.9,37,0.133,0.546,1.26,0.072,0.6,123,0,123,123,,0,5559,278,0,,,,,,,0,0,,0.038,0.017,0.12,0
